['9', '8', 11, 12, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 3, 3, 7, 1, 9, 2, 0, 2, 0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 1, 0, 3, 1, 0, 0, 1, 0, 3, 0, 2, 0, 0, 6, 0, 0, 0, 3, 0, 2, 0, 0, 6, 0, 3, 4, 0, 0, 0, 0, 3, 1, 0, 3]]
['7', '9', 35, 34, [0, 3, 3, 7, 1, 9, 2, 0, 2, 0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0, 1, 0, 3, 1, 0, 0, 1, 0, 3, 0, 2, 0, 0, 6, 0, 0, 0, 3, 0, 2, 0, 0, 6, 0, 3, 4, 0, 0, 0, 0, 3, 1, 0, 3], [3, 0, 3, 8, 3, 2, 0, 6, 3, 0, 0, 3, 0, 0, 0, 3, 0, 3, 2, 4, 5, 3, 0, 0, 2, 1, 0, 0, 6, 0, 2, 0, 2, 8, 5, 4, 2, 3, 0, 5, 3, 3, 0, 2, 1, 5, 3, 0, 5, 0, 3, 3, 0, 1, 0, 0, 1, 0, 1, 3]]
['0', '7', 56, 54, [3, 0, 3, 8, 3, 2, 0, 6, 3, 0, 0, 3, 0, 0, 0, 3, 0, 3, 2, 4, 5, 3, 0, 0, 2, 1, 0, 0, 6, 0, 2, 0, 2, 8, 5, 4, 2, 3, 0, 5, 3, 3, 0, 2, 1, 5, 3, 0, 5, 0, 3, 3, 0, 1, 0, 0, 1, 0, 1, 3], [2, 0, 2, 3, 3, 5, 0, 3, 0, 2, 3, 6, 1, 0, 2, 5, 0, 5, 0, 2, 5, 5, 0, 0, 0, 4, 0, 1, 2, 0, 4, 3, 2, 5, 8, 6, 0, 6, 0, 2, 6, 5, 5, 3, 1, 7, 2, 6, 2, 0, 3, 1, 1, 8, 0, 0, 0, 0, 9, 0]]
['1', '0', 74, 74, [2, 0, 2, 3, 3, 5, 0, 3, 0, 2, 3, 6, 1, 0, 2, 5, 0, 5, 0, 2, 5, 5, 0, 0, 0, 4, 0, 1, 2, 0, 4, 3, 2, 5, 8, 6, 0, 6, 0, 2, 6, 5, 5, 3, 1, 7, 2, 6, 2, 0, 3, 1, 1, 8, 0, 0, 0, 0, 9, 0], [4, 0, 0, 5, 6, 0, 1, 2, 3, 1, 6, 7, 0, 0, 0, 8, 0, 5, 0, 3, 4, 2, 0, 0, 0, 6, 0, 0, 4, 0, 6, 1, 0, 5, 6, 3, 0, 3, 9, 0, 8, 5, 5, 3, 2, 7, 5, 4, 0, 3, 3, 0, 0, 7, 0, 2, 0, 1, 7, 3]]
['6', '1', 74, 75, [4, 0, 0, 5, 6, 0, 1, 2, 3, 1, 6, 7, 0, 0, 0, 8, 0, 5, 0, 3, 4, 2, 0, 0, 0, 6, 0, 0, 4, 0, 6, 1, 0, 5, 6, 3, 0, 3, 9, 0, 8, 5, 5, 3, 2, 7, 5, 4, 0, 3, 3, 0, 0, 7, 0, 2, 0, 1, 7, 3], [4, 0, 3, 3, 5, 3, 1, 0, 9, 0, 3, 8, 0, 0, 0, 9, 0, 2, 1, 6, 1, 2, 6, 1, 0, 7, 0, 2, 1, 0, 7, 1, 8, 8, 5, 3, 1, 2, 10, 7, 8, 5, 4, 3, 3, 7, 5, 6, 0, 3, 6, 1, 0, 4, 0, 5, 0, 1, 7, 3]]
['4', '6', 80, 81, [4, 0, 3, 3, 5, 3, 1, 0, 9, 0, 3, 8, 0, 0, 0, 9, 0, 2, 1, 6, 1, 2, 6, 1, 0, 7, 0, 2, 1, 0, 7, 1, 8, 8, 5, 3, 1, 2, 10, 7, 8, 5, 4, 3, 3, 7, 5, 6, 0, 3, 6, 1, 0, 4, 0, 5, 0, 1, 7, 3], [3, 0, 4, 3, 9, 5, 0, 2, 10, 0, 3, 9, 0, 0, 0, 6, 3, 0, 0, 6, 0, 5, 9, 1, 0, 5, 0, 1, 9, 0, 7, 4, 8, 2, 5, 3, 2, 2, 10, 7, 8, 3, 4, 3, 3, 7, 3, 6, 0, 5, 6, 1, 0, 6, 8, 9, 3, 0, 8, 3]]
['10', '4', 83, 84, [3, 0, 4, 3, 9, 5, 0, 2, 10, 0, 3, 9, 0, 0, 0, 6, 3, 0, 0, 6, 0, 5, 9, 1, 0, 5, 0, 1, 9, 0, 7, 4, 8, 2, 5, 3, 2, 2, 10, 7, 8, 3, 4, 3, 3, 7, 3, 6, 0, 5, 6, 1, 0, 6, 8, 9, 3, 0, 8, 3], [4, 1, 7, 2, 10, 3, 0, 2, 10, 0, 4, 9, 3, 0, 2, 6, 4, 3, 2, 9, 1, 8, 10, 1, 3, 2, 0, 2, 10, 3, 7, 2, 6, 4, 7, 3, 2, 6, 10, 9, 5, 4, 1, 4, 6, 7, 1, 5, 0, 2, 1, 0, 0, 9, 3, 9, 3, 0, 9, 3]]
['15', '10', 110, 111, [4, 1, 7, 2, 10, 3, 0, 2, 10, 0, 4, 9, 3, 0, 2, 6, 4, 3, 2, 9, 1, 8, 10, 1, 3, 2, 0, 2, 10, 3, 7, 2, 6, 4, 7, 3, 2, 6, 10, 9, 5, 4, 1, 4, 6, 7, 1, 5, 0, 2, 1, 0, 0, 9, 3, 9, 3, 0, 9, 3], [4, 1, 8, 2, 10, 2, 3, 3, 10, 0, 4, 8, 1, 0, 0, 4, 6, 2, 4, 9, 5, 7, 9, 3, 4, 2, 0, 4, 8, 1, 8, 0, 6, 7, 7, 8, 1, 6, 10, 9, 3, 3, 1, 3, 3, 7, 1, 8, 0, 6, 0, 3, 0, 9, 6, 6, 5, 6, 9, 2]]
['13', '15', 119, 117, [4, 1, 8, 2, 10, 2, 3, 3, 10, 0, 4, 8, 1, 0, 0, 4, 6, 2, 4, 9, 5, 7, 9, 3, 4, 2, 0, 4, 8, 1, 8, 0, 6, 7, 7, 8, 1, 6, 10, 9, 3, 3, 1, 3, 3, 7, 1, 8, 0, 6, 0, 3, 0, 9, 6, 6, 5, 6, 9, 2], [2, 0, 10, 2, 10, 6, 4, 3, 10, 1, 5, 9, 2, 3, 0, 4, 5, 3, 7, 5, 8, 4, 10, 2, 5, 1, 0, 2, 5, 3, 10, 1, 2, 8, 7, 8, 1, 7, 7, 8, 3, 1, 1, 5, 3, 6, 0, 8, 0, 6, 0, 6, 1, 9, 7, 9, 5, 6, 10, 6]]
['5', '13', 140, 138, [2, 0, 10, 2, 10, 6, 4, 3, 10, 1, 5, 9, 2, 3, 0, 4, 5, 3, 7, 5, 8, 4, 10, 2, 5, 1, 0, 2, 5, 3, 10, 1, 2, 8, 7, 8, 1, 7, 7, 8, 3, 1, 1, 5, 3, 6, 0, 8, 0, 6, 0, 6, 1, 9, 7, 9, 5, 6, 10, 6], [5, 1, 10, 5, 9, 7, 4, 7, 7, 0, 2, 9, 4, 1, 0, 2, 7, 1, 10, 4, 10, 5, 10, 8, 5, 0, 0, 4, 4, 3, 10, 1, 0, 8, 6, 7, 1, 9, 4, 7, 1, 2, 1, 6, 6, 5, 4, 9, 0, 7, 0, 3, 1, 9, 8, 9, 4, 8, 9, 6]]
